w_player1,w_player2,l_player1,l_player2
Eiko Koizumi,Shinako Tanaka,Inna Shmat,Natalia Stepanova
Marie-Andree Lessard,Sarah Maxwell,Bernadette Kiss,Regina Kiss
Clara Lozano,Nadia Campisi,Miwa Asao,Takemi Nishibori
Ilka Semmler,Katrin Holtwick,Agatha Bednarczuk,Shaylyn Bede
Marrit Leenstra,Sanne Keizer,Becchara Palmer,Eileen Romanowski
Diane Pascua,Heidi Ilustre,Linjun Ji,Ying Zhang
Heike Jensen,Summer Lochowicz,Kamoltip Kulna,Yupa Phokongploy
Janne Kongshavn,Kristine Wiig,Hiromi Suzuki,Satoko Urata
Daniela Gioria,Lucilla Perrotta,Bibiana Candelas,Mayra Garcia
Chiaki Kusuhara,Mika Teru Saiki,Caroline Fiset,Isabelle Rancourt
Denise Johns,Lucy Boulton,Mered de Vries,Patricia Labee
Annie Martin,Dana Cooke,Jarunee Sannok,Usa Tenpaksee
Lu Wang,Man Zuo,Beh Shun Thing,Luk Teck Hua
Efthalia Koutroumanidou,Maria Tsiartsiani,Angelica Ljungquist,Karin Lundqvist
Tatiana Barrera,Virginie Kadjo,Eiko Koizumi,Shinako Tanaka
Marie-Andree Lessard,Sarah Maxwell,Clara Lozano,Nadia Campisi
Ilka Semmler,Katrin Holtwick,Marrit Leenstra,Sanne Keizer
Diane Pascua,Heidi Ilustre,Heike Jensen,Summer Lochowicz
Daniela Gioria,Lucilla Perrotta,Janne Kongshavn,Kristine Wiig
Chiaki Kusuhara,Mika Teru Saiki,Denise Johns,Lucy Boulton
Annie Martin,Dana Cooke,Lu Wang,Man Zuo
Juliana Felisberta,Larissa Franca,Diane Pascua,Heidi Ilustre
Doris Schwaiger,Stefanie Schwaiger,Natalie Cook,Tamsin Hinchley
Marie-Andree Lessard,Sarah Maxwell,Angelina Scanlon,Shuqin Wu
Hella Jurich,Rieke Brink-Abeler,Tatiana Barrera,Virginie Kadjo
Ingrid Torlen,Nila Ann Hakedal,Ilka Semmler,Katrin Holtwick
Sabine Swoboda,Sara Montagnolli,Merel Mooren,Rebekka Kadijk
Chiaki Kusuhara,Mika Teru Saiki,Dalixia Fernandez Grasset,Tamara Larrea Peraza
Chen Xue,Xi Zhang,Annie Martin,Dana Cooke
Renata Ribeiro,Talita Antunes,Liesbet Van Breedam,Liesbeth Mouha
Laura Ludwig,Sara Niedrig,Morgane Faure,Virginie Sarpaux
Emilia Nystrom,Erika Nystrom,Imara Esteves Ribalta,Milagros Crespo
Adriana Behar,Shelda Bede,Daniela Gioria,Lucilla Perrotta
Okka Rau,Stephanie Pohl,"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna"
Kathrine Maaseide,Susanne Glesnes,Efthalia Koutroumanidou,Maria Tsiartsiani
Vasiliki Arvaniti,Vasso Karadassiou,Hana Skalnikova,Tereza Petrova
Jia Tian,Jie Wang,Hui Yu Phang,Shiang Theng Tan
Juliana Felisberta,Larissa Franca,Doris Schwaiger,Stefanie Schwaiger
Hella Jurich,Rieke Brink-Abeler,Marie-Andree Lessard,Sarah Maxwell
Ingrid Torlen,Nila Ann Hakedal,Sabine Swoboda,Sara Montagnolli
Chen Xue,Xi Zhang,Chiaki Kusuhara,Mika Teru Saiki
Renata Ribeiro,Talita Antunes,Laura Ludwig,Sara Niedrig
Adriana Behar,Shelda Bede,Emilia Nystrom,Erika Nystrom
Okka Rau,Stephanie Pohl,Kathrine Maaseide,Susanne Glesnes
Jia Tian,Jie Wang,Vasiliki Arvaniti,Vasso Karadassiou
Juliana Felisberta,Larissa Franca,Hella Jurich,Rieke Brink-Abeler
Chen Xue,Xi Zhang,Ingrid Torlen,Nila Ann Hakedal
Renata Ribeiro,Talita Antunes,Adriana Behar,Shelda Bede
Jia Tian,Jie Wang,Okka Rau,Stephanie Pohl
Juliana Felisberta,Larissa Franca,Chen Xue,Xi Zhang
Jia Tian,Jie Wang,Renata Ribeiro,Talita Antunes
Natalie Cook,Tamsin Hinchley,Diane Pascua,Heidi Ilustre
Tatiana Barrera,Virginie Kadjo,Angelina Scanlon,Shuqin Wu
Merel Mooren,Rebekka Kadijk,Ilka Semmler,Katrin Holtwick
Dalixia Fernandez Grasset,Tamara Larrea Peraza,Annie Martin,Dana Cooke
Morgane Faure,Virginie Sarpaux,Liesbet Van Breedam,Liesbeth Mouha
Imara Esteves Ribalta,Milagros Crespo,Daniela Gioria,Lucilla Perrotta
Efthalia Koutroumanidou,Maria Tsiartsiani,"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna"
Hana Skalnikova,Tereza Petrova,Hui Yu Phang,Shiang Theng Tan
Natalie Cook,Tamsin Hinchley,Vasiliki Arvaniti,Vasso Karadassiou
Kathrine Maaseide,Susanne Glesnes,Tatiana Barrera,Virginie Kadjo
Merel Mooren,Rebekka Kadijk,Emilia Nystrom,Erika Nystrom
Dalixia Fernandez Grasset,Tamara Larrea Peraza,Laura Ludwig,Sara Niedrig
Chiaki Kusuhara,Mika Teru Saiki,Morgane Faure,Virginie Sarpaux
Imara Esteves Ribalta,Milagros Crespo,Sabine Swoboda,Sara Montagnolli
Efthalia Koutroumanidou,Maria Tsiartsiani,Marie-Andree Lessard,Sarah Maxwell
Doris Schwaiger,Stefanie Schwaiger,Hana Skalnikova,Tereza Petrova
Natalie Cook,Tamsin Hinchley,Kathrine Maaseide,Susanne Glesnes
Merel Mooren,Rebekka Kadijk,Dalixia Fernandez Grasset,Tamara Larrea Peraza
Imara Esteves Ribalta,Milagros Crespo,Chiaki Kusuhara,Mika Teru Saiki
Doris Schwaiger,Stefanie Schwaiger,Efthalia Koutroumanidou,Maria Tsiartsiani
Ingrid Torlen,Nila Ann Hakedal,Natalie Cook,Tamsin Hinchley
Merel Mooren,Rebekka Kadijk,Hella Jurich,Rieke Brink-Abeler
Imara Esteves Ribalta,Milagros Crespo,Okka Rau,Stephanie Pohl
Adriana Behar,Shelda Bede,Doris Schwaiger,Stefanie Schwaiger
Ingrid Torlen,Nila Ann Hakedal,Merel Mooren,Rebekka Kadijk
Adriana Behar,Shelda Bede,Imara Esteves Ribalta,Milagros Crespo
Renata Ribeiro,Talita Antunes,Ingrid Torlen,Nila Ann Hakedal
Chen Xue,Xi Zhang,Adriana Behar,Shelda Bede
Renata Ribeiro,Talita Antunes,Juliana Felisberta,Larissa Franca
Jia Tian,Jie Wang,Chen Xue,Xi Zhang
Chen Xue,Xi Zhang,Juliana Felisberta,Larissa Franca
Renata Ribeiro,Talita Antunes,Jia Tian,Jie Wang
Ana Paula Henkel,Leila Barros,Carolina Salgado,Maria Clara Salgado
Miwa Asao,Takemi Nishibori,Miho Makabe,Sachie Oguri
Caroline Fiset,Isabelle Rancourt,Anouk Boileau,Marie-Christine Mondor
Isabelle Czerveniak,Sara Pothaar,Chelsea Grimson,Katherine Zakrzewski
Annie Martin,Dana Cooke,"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna"
Bibiana Candelas,Mayra Garcia,Tatiana Barrera,Virginie Kadjo
Eiko Koizumi,Shinako Tanaka,Diane Pascua,Heidi Ilustre
Marrit Leenstra,Sanne Keizer,Norma Escobedo Perez,Rosario Reyes
Clara Lozano,Nadia Campisi,Denise Johns,Lucy Boulton
Heike Jensen,Summer Lochowicz,Miwa Asao,Takemi Nishibori
Liesbet Van Breedam,Liesbeth Mouha,Jarunee Sannok,Usa Tenpaksee
Isabelle Forrer,Sarah Schmocker,Hiromi Suzuki,Satoko Urata
Marie-Andree Lessard,Sarah Maxwell,Isabelle Czerveniak,Sara Pothaar
Chiaki Kusuhara,Mika Teru Saiki,Becchara Palmer,Eileen Romanowski
Giulia Momoli,Lucilla Perrotta,Caroline Fiset,Isabelle Rancourt
Angelica Ljungquist,Karin Lundqvist,Kamoltip Kulna,Yupa Phokongploy
Ana Paula Henkel,Leila Barros,Annie Martin,Dana Cooke
Bibiana Candelas,Mayra Garcia,Eiko Koizumi,Shinako Tanaka
Marrit Leenstra,Sanne Keizer,Clara Lozano,Nadia Campisi
Linjun Ji,Ying Zhang,Heike Jensen,Summer Lochowicz
Lu Wang,Man Zuo,Liesbet Van Breedam,Liesbeth Mouha
Marie-Andree Lessard,Sarah Maxwell,Isabelle Forrer,Sarah Schmocker
Chiaki Kusuhara,Mika Teru Saiki,Giulia Momoli,Lucilla Perrotta
Efthalia Koutroumanidou,Maria Tsiartsiani,Angelica Ljungquist,Karin Lundqvist
Jia Tian,Jie Wang,Mi-Hwa Yu,Seol-Yi Kim
Doris Schwaiger,Stefanie Schwaiger,Sabine Swoboda,Sara Montagnolli
Marrit Leenstra,Sanne Keizer,Eun-Kyoung Lee,Meong-Hee Lee
Imara Esteves Ribalta,Milagros Crespo,Emilia Nystrom,Erika Nystrom
Ana Paula Henkel,Leila Barros,Agatha Bednarczuk,Shaylyn Bede
Laura Ludwig,Sara Niedrig,Hana Skalnikova,Tereza Petrova
Merel Mooren,Rebekka Kadijk,Geeske Banck,Susanne Lahme
Chen Xue,Xi Zhang,Marie-Andree Lessard,Sarah Maxwell
Renata Ribeiro,Talita Antunes,Mered de Vries,Patricia Labee
Natalie Cook,Tamsin Hinchley,Morgane Faure,Virginie Sarpaux
Lu Wang,Man Zuo,Kathrine Maaseide,Susanne Glesnes
Efthalia Koutroumanidou,Maria Tsiartsiani,Ingrid Torlen,Nila Ann Hakedal
Adriana Behar,Shelda Bede,Linjun Ji,Ying Zhang
Vasiliki Arvaniti,Vasso Karadassiou,Hella Jurich,Rieke Brink-Abeler
Chiaki Kusuhara,Mika Teru Saiki,Dalixia Fernandez Grasset,Tamara Larrea Peraza
Juliana Felisberta,Larissa Franca,Bibiana Candelas,Mayra Garcia
Jia Tian,Jie Wang,Doris Schwaiger,Stefanie Schwaiger
Imara Esteves Ribalta,Milagros Crespo,Marrit Leenstra,Sanne Keizer
Ana Paula Henkel,Leila Barros,Laura Ludwig,Sara Niedrig
Chen Xue,Xi Zhang,Merel Mooren,Rebekka Kadijk
Natalie Cook,Tamsin Hinchley,Renata Ribeiro,Talita Antunes
Lu Wang,Man Zuo,Efthalia Koutroumanidou,Maria Tsiartsiani
Adriana Behar,Shelda Bede,Vasiliki Arvaniti,Vasso Karadassiou
Juliana Felisberta,Larissa Franca,Chiaki Kusuhara,Mika Teru Saiki
Jia Tian,Jie Wang,Imara Esteves Ribalta,Milagros Crespo
Ana Paula Henkel,Leila Barros,Chen Xue,Xi Zhang
Natalie Cook,Tamsin Hinchley,Lu Wang,Man Zuo
Juliana Felisberta,Larissa Franca,Adriana Behar,Shelda Bede
Jia Tian,Jie Wang,Ana Paula Henkel,Leila Barros
Natalie Cook,Tamsin Hinchley,Juliana Felisberta,Larissa Franca
Sabine Swoboda,Sara Montagnolli,Mi-Hwa Yu,Seol-Yi Kim
Emilia Nystrom,Erika Nystrom,Eun-Kyoung Lee,Meong-Hee Lee
Agatha Bednarczuk,Shaylyn Bede,Hana Skalnikova,Tereza Petrova
Marie-Andree Lessard,Sarah Maxwell,Geeske Banck,Susanne Lahme
Morgane Faure,Virginie Sarpaux,Mered de Vries,Patricia Labee
Kathrine Maaseide,Susanne Glesnes,Ingrid Torlen,Nila Ann Hakedal
Linjun Ji,Ying Zhang,Hella Jurich,Rieke Brink-Abeler
Dalixia Fernandez Grasset,Tamara Larrea Peraza,Bibiana Candelas,Mayra Garcia
Sabine Swoboda,Sara Montagnolli,Chiaki Kusuhara,Mika Teru Saiki
Emilia Nystrom,Erika Nystrom,Vasiliki Arvaniti,Vasso Karadassiou
Efthalia Koutroumanidou,Maria Tsiartsiani,Agatha Bednarczuk,Shaylyn Bede
Renata Ribeiro,Talita Antunes,Marie-Andree Lessard,Sarah Maxwell
Morgane Faure,Virginie Sarpaux,Merel Mooren,Rebekka Kadijk
Kathrine Maaseide,Susanne Glesnes,Laura Ludwig,Sara Niedrig
Linjun Ji,Ying Zhang,Marrit Leenstra,Sanne Keizer
Dalixia Fernandez Grasset,Tamara Larrea Peraza,Doris Schwaiger,Stefanie Schwaiger
Emilia Nystrom,Erika Nystrom,Sabine Swoboda,Sara Montagnolli
Renata Ribeiro,Talita Antunes,Efthalia Koutroumanidou,Maria Tsiartsiani
Kathrine Maaseide,Susanne Glesnes,Morgane Faure,Virginie Sarpaux
Linjun Ji,Ying Zhang,Dalixia Fernandez Grasset,Tamara Larrea Peraza
Chen Xue,Xi Zhang,Emilia Nystrom,Erika Nystrom
Renata Ribeiro,Talita Antunes,Imara Esteves Ribalta,Milagros Crespo
Adriana Behar,Shelda Bede,Kathrine Maaseide,Susanne Glesnes
Lu Wang,Man Zuo,Linjun Ji,Ying Zhang
Renata Ribeiro,Talita Antunes,Chen Xue,Xi Zhang
Lu Wang,Man Zuo,Adriana Behar,Shelda Bede
Juliana Felisberta,Larissa Franca,Renata Ribeiro,Talita Antunes
Ana Paula Henkel,Leila Barros,Lu Wang,Man Zuo
Jia Tian,Jie Wang,Juliana Felisberta,Larissa Franca
Natalie Cook,Tamsin Hinchley,Ana Paula Henkel,Leila Barros
Juliana Felisberta,Larissa Franca,Ana Paula Henkel,Leila Barros
Natalie Cook,Tamsin Hinchley,Jia Tian,Jie Wang
Maria Antonelli,Vanilda Leao,Agatha Bednarczuk,Shaylyn Bede
Maria Antonelli,Vanilda Leao,Carolina Salgado,Maria Clara Salgado
