tourney_date,surface,winner1_id,winner2_id,loser1_id,loser2_id
2010-01-03,Hard,104160,102233,104958,105023.0
2010-01-03,Hard,104871,102967,102382,102963.0
2010-01-03,Hard,103566,103544,103429,102512.0
2010-01-03,Hard,104249,103946,104504,103459.0
2010-01-03,Hard,104607,103285,105064,103080.0
2010-01-03,Hard,103484,104053,103711,103617.0
2010-01-03,Hard,102659,102697,104749,106071.0
2010-01-03,Hard,103781,104332,102093,104583.0
2010-01-03,Hard,103781,104332,103566,103544.0
2010-01-03,Hard,103484,104053,104249,103946.0
2010-01-03,Hard,104871,102967,104607,103285.0
2010-01-03,Hard,104160,102233,103781,104332.0
2010-01-03,Hard,104871,102967,103484,104053.0
2010-01-03,Hard,104871,102967,104160,102233.0
2010-01-04,Hard,104198,103656,102110,102800.0
2010-01-04,Hard,102886,103455,105149,103600.0
2010-01-04,Hard,103586,103690,104043,104745.0
2010-01-04,Hard,103577,101868,104620,104312.0
2010-01-04,Hard,103843,104678,103794,103694.0
2010-01-04,Hard,104327,103997,104523,103169.0
2010-01-04,Hard,105095,104660,104926,103808.0
2010-01-04,Hard,103325,104022,101962,108993.0
2010-01-04,Hard,103254,104527,103780,104330.0
2010-01-04,Hard,104719,103490,102306,102783.0
2010-01-04,Hard,102405,103523,103859,104224.0
2010-01-04,Hard,104500,105072,103573,103822.0
2010-01-04,Hard,106026,102845,104068,104534.0
2010-01-04,Hard,102979,102836,103857,103529.0
2010-01-04,Hard,104415,104159,104225,105041.0
2010-01-04,Hard,104229,104386,103582,103752.0
2010-01-04,Hard,102886,103455,104327,103997.0
2010-01-04,Hard,105095,104660,103586,103690.0
2010-01-04,Hard,103577,101868,103843,104678.0
2010-01-04,Hard,104198,103656,103325,104022.0
2010-01-04,Hard,104719,103490,106026,102845.0
2010-01-04,Hard,104415,104159,102405,103523.0
2010-01-04,Hard,104500,105072,102979,102836.0
2010-01-04,Hard,104229,104386,103254,104527.0
2010-01-04,Hard,102886,103455,105095,104660.0
2010-01-04,Hard,104198,103656,103577,101868.0
2010-01-04,Hard,104719,103490,104415,104159.0
2010-01-04,Hard,104229,104386,104500,105072.0
2010-01-04,Hard,104198,103656,102886,103455.0
2010-01-04,Hard,104719,103490,104229,104386.0
2010-01-11,Hard,102836,104547,103184,103185.0
2010-01-11,Hard,104160,102233,103711,103617.0
2010-01-11,Hard,104719,103990,102093,104583.0
2010-01-11,Hard,105064,102987,102382,102963.0
2010-01-11,Hard,102463,104338,104198,103656.0
2010-01-11,Hard,103540,103828,104597,103970.0
2010-01-11,Hard,105428,104486,104907,104908.0
2010-01-11,Hard,104249,103946,103781,104332.0
2010-01-11,Hard,102110,102800,103586,103690.0
2010-01-11,Hard,103997,103594,103566,103544.0
2010-01-11,Hard,103794,103822,102886,103455.0
2010-01-11,Hard,104214,105095,103898,104755.0
2010-01-11,Hard,102388,103080,103429,103813.0
2010-01-11,Hard,104504,103459,103780,104330.0
2010-01-11,Hard,103577,101868,104655,104312.0
2010-01-11,Hard,103540,103828,104160,102233.0
2010-01-11,Hard,105428,104486,104719,103990.0
2010-01-11,Hard,105064,102987,102463,104338.0
2010-01-11,Hard,104249,103946,102836,104547.0
2010-01-11,Hard,102110,102800,103577,101868.0
2010-01-11,Hard,104504,103459,103997,103594.0
2010-01-11,Hard,102388,103080,104958,102697.0
2010-01-11,Hard,105428,104486,103540,103828.0
2010-01-11,Hard,104249,103946,105064,102987.0
2010-01-11,Hard,102110,102800,104214,105095.0
2010-01-11,Hard,104504,103459,102388,103080.0
2010-01-11,Hard,105428,104486,104249,103946.0
2010-01-11,Hard,102110,102800,104504,103459.0
2010-01-18,Hard,103184,103185,103582,103752.0
2010-01-18,Hard,102110,102800,105032,106186.0
2010-01-18,Hard,104160,102233,102904,102881.0
2010-01-18,Hard,102306,103813,102405,103018.0
2010-01-18,Hard,103997,103594,103428,104593.0
2010-01-18,Hard,103602,103344,102886,103455.0
2010-01-18,Hard,103586,103690,104504,103459.0
2010-01-18,Hard,104719,103990,105051,105454.0
2010-01-18,Hard,103333,102811,103577,101868.0
2010-01-18,Hard,103096,102968,102382,102963.0
2010-01-18,Hard,102388,103080,103228,104230.0
2010-01-18,Hard,104919,104547,104249,103946.0
2010-01-18,Hard,103898,104327,103566,103544.0
2010-01-18,Hard,102093,104583,104594,106071.0
2010-01-18,Hard,103782,103429,103711,103617.0
2010-01-18,Hard,103781,104332,104043,103490.0
2010-01-18,Hard,104250,104500,103859,104224.0
2010-01-18,Hard,104214,105095,104660,104999.0
2010-01-18,Hard,102463,104486,103325,104022.0
2010-01-18,Hard,104958,102697,103794,104252.0
2010-01-18,Hard,104620,104312,105041,103188.0
2010-01-18,Hard,103540,103828,104268,105053.0
2010-01-18,Hard,103780,104330,105064,102987.0
2010-01-18,Hard,103573,103822,103523,103529.0
2010-01-18,Hard,104415,104159,104229,104386.0
2010-01-18,Hard,104749,105286,103893,103294.0
2010-01-18,Hard,104545,105023,102979,102836.0
2010-01-18,Hard,103857,104534,103843,104678.0
2010-01-18,Hard,103852,102783,104523,104019.0
2010-01-18,Hard,103929,103938,105194,105591.0
2010-01-18,Hard,103656,103506,104076,102585.0
2010-01-18,Hard,103184,103185,103573,103822.0
2010-01-18,Hard,102110,102800,103656,103506.0
2010-01-18,Hard,104160,102233,102463,104486.0
2010-01-18,Hard,103997,103594,103857,104534.0
2010-01-18,Hard,103780,104330,103586,103690.0
2010-01-18,Hard,103540,103828,104719,103990.0
2010-01-18,Hard,102388,103080,104250,104500.0
2010-01-18,Hard,104620,104312,102093,104583.0
2010-01-18,Hard,103781,104332,104926,103808.0
2010-01-18,Hard,103096,102968,103852,102783.0
2010-01-18,Hard,103602,103344,104958,102697.0
2010-01-18,Hard,104545,105023,103898,104327.0
2010-01-18,Hard,103333,102811,104749,105286.0
2010-01-18,Hard,102306,103813,104415,104159.0
2010-01-18,Hard,103929,103938,103782,103429.0
2010-01-18,Hard,104919,104547,104214,105095.0
2010-01-18,Hard,103184,103185,103781,104332.0
2010-01-18,Hard,102110,102800,103929,103938.0
2010-01-18,Hard,104160,102233,104545,105023.0
2010-01-18,Hard,103333,102811,103997,103594.0
2010-01-18,Hard,103602,103344,102388,103080.0
2010-01-18,Hard,103780,104330,104919,104547.0
2010-01-18,Hard,103096,102968,103540,103828.0
2010-01-18,Hard,102306,103813,104620,104312.0
2010-01-18,Hard,103184,103185,103780,104330.0
2010-01-18,Hard,102110,102800,103096,102968.0
2010-01-18,Hard,103333,102811,104160,102233.0
2010-01-18,Hard,103184,103185,102306,103813.0
2010-01-18,Hard,102110,102800,103333,102811.0
2010-01-18,Hard,103184,103185,102110,102800.0
2010-02-01,Hard,102886,103455,104415,104159.0
2010-02-01,Hard,103577,105095,102382,102963.0
2010-02-01,Hard,102093,104583,103711,104999.0
2010-02-01,Hard,104504,103459,105015,109371.0
2010-02-01,Hard,103794,102783,105775,103735.0
2010-02-01,Hard,103096,103694,102965,102864.0
2010-02-01,Hard,102306,103580,103730,104679.0
2010-02-01,Hard,103781,104332,104797,103327.0
2010-02-01,Hard,104327,103598,103325,102061.0
2010-02-01,Hard,103540,103828,103573,104229.0
2010-02-01,Hard,103780,104330,103929,103938.0
2010-02-01,Hard,104071,104292,102979,102836.0
2010-02-01,Hard,104250,103859,105434,105707.0
2010-02-01,Hard,103971,103248,103876,104911.0
2010-02-01,Hard,103523,103529,103254,103843.0
2010-02-01,Hard,103920,103921,103565,104397.0
2010-02-01,Clay,103997,103594,103428,103490.0
2010-02-01,Clay,104249,103946,104477,105070.0
2010-02-01,Clay,103808,104547,104655,104719.0
2010-02-01,Clay,104076,102585,102987,104486.0
2010-02-01,Clay,102463,104338,103169,102839.0
2010-02-01,Clay,102904,102881,105064,103228.0
2010-02-01,Clay,104136,103454,104314,103893.0
2010-02-01,Clay,103752,103429,103105,104724.0
2010-02-01,Hard,103781,104332,102886,103455.0
2010-02-01,Hard,102093,104583,102306,103580.0
2010-02-01,Hard,103096,103694,104504,103459.0
2010-02-01,Hard,103794,102783,103577,105095.0
2010-02-01,Hard,103780,104330,104250,103859.0
2010-02-01,Hard,103971,103248,104071,104292.0
2010-02-01,Hard,104327,103598,103920,103921.0
2010-02-01,Clay,103997,103594,104136,103454.0
2010-02-01,Clay,102463,104338,104249,103946.0
2010-02-01,Clay,103808,104547,103752,103429.0
2010-02-01,Hard,103781,104332,102093,104583.0
2010-02-01,Hard,103096,103694,103794,102783.0
2010-02-01,Hard,103523,103529,103780,104330.0
2010-02-01,Hard,103971,103248,104327,103598.0
2010-02-01,Clay,103997,103594,102904,102881.0
2010-02-01,Clay,103808,104547,102463,104338.0
2010-02-01,Hard,103781,104332,103096,103694.0
2010-02-01,Hard,103523,103529,103971,103248.0
2010-02-01,Clay,103997,103594,103808,104547.0
2010-02-08,Hard,102110,102800,104386,104678.0
2010-02-08,Hard,102886,103455,104619,104997.0
2010-02-08,Hard,103586,103690,103843,104198.0
2010-02-08,Hard,103577,101868,103344,103781.0
2010-02-08,Hard,102388,103080,104620,104312.0
2010-02-08,Hard,102382,102963,103573,102836.0
2010-02-08,Hard,103566,103544,103898,103096.0
2010-02-08,Hard,103852,103990,102093,104583.0
2010-02-08,Hard,103184,103185,104415,104159.0
2010-02-08,Hard,103780,104330,103188,102811.0
2010-02-08,Hard,103540,103828,104607,104259.0
2010-02-08,Hard,103163,103285,103859,102306.0
2010-02-08,Hard,104958,102697,103523,102979.0
2010-02-08,Hard,103794,104919,103822,103718.0
2010-02-08,Hard,103888,105023,104068,104224.0
2010-02-08,Hard,104797,104534,104871,103813.0
2010-02-08,Clay,103997,103594,103169,103656.0
2010-02-08,Clay,104655,104719,103812,102585.0
2010-02-08,Clay,102463,104547,104249,103946.0
2010-02-08,Clay,103428,103490,102987,104486.0
2010-02-08,Clay,105064,103228,105269,106123.0
2010-02-08,Clay,104926,104523,104214,104593.0
2010-02-08,Clay,102904,102881,103893,103808.0
2010-02-08,Clay,103752,103429,104392,103672.0
2010-02-08,Hard,102110,102800,103852,103990.0
2010-02-08,Hard,102886,103455,103566,103544.0
2010-02-08,Hard,102382,102963,103586,103690.0
2010-02-08,Hard,102388,103080,103577,101868.0
2010-02-08,Hard,103794,104919,103184,103185.0
2010-02-08,Hard,103780,104330,104958,102697.0
2010-02-08,Hard,103888,105023,103540,103828.0
2010-02-08,Clay,103997,103594,102904,102881.0
2010-02-08,Clay,104655,104719,104926,104523.0
2010-02-08,Clay,103428,103490,103752,103429.0
2010-02-08,Hard,102110,102800,102382,102963.0
2010-02-08,Hard,102388,103080,102886,103455.0
2010-02-08,Hard,103888,105023,103780,104330.0
2010-02-08,Hard,103794,104919,104797,104534.0
2010-02-08,Clay,103997,103594,105064,103228.0
2010-02-08,Clay,104655,104719,103428,103490.0
2010-02-08,Hard,102110,102800,102388,103080.0
2010-02-08,Hard,103888,105023,103794,104919.0
2010-02-08,Clay,104655,104719,103997,103594.0
2010-02-15,Hard,103780,104330,102405,103018.0
2010-02-15,Hard,103888,101956,103540,103828.0
2010-02-15,Hard,104545,105023,104249,103946.0
2010-02-15,Hard,104504,103459,102093,104583.0
2010-02-15,Hard,102697,103711,103484,104035.0
2010-02-15,Hard,102306,103813,103333,102811.0
2010-02-15,Hard,103822,103718,103794,104871.0
2010-02-15,Hard,104919,104534,104068,104224.0
2010-02-15,Hard,102382,102963,103693,104571.0
2010-02-15,Hard,103898,103566,103929,103938.0
2010-02-15,Hard,104043,103990,104620,104312.0
2010-02-15,Hard,103096,103917,104415,104159.0
2010-02-15,Hard,103523,102979,103294,103694.0
2010-02-15,Hard,103573,103529,104792,104766.0
2010-02-15,Hard,103920,103921,104095,103722.0
2010-02-15,Hard,104660,102836,104721,104273.0
2010-02-15,Clay,104655,104719,104755,103506.0
2010-02-15,Clay,104230,103594,102987,104486.0
2010-02-15,Clay,103970,103105,102904,102881.0
2010-02-15,Clay,102585,104547,103228,103893.0
2010-02-15,Clay,104597,103490,104926,103808.0
2010-02-15,Clay,104214,104593,103976,103428.0
2010-02-15,Clay,102463,104314,103169,103656.0
2010-02-15,Clay,103752,103429,104523,104724.0
2010-02-15,Hard,103888,101956,102697,103711.0
2010-02-15,Hard,104504,103459,102306,103813.0
2010-02-15,Hard,104545,105023,104919,104534.0
2010-02-15,Hard,103822,103718,103780,104330.0
2010-02-15,Hard,102382,102963,103920,103921.0
2010-02-15,Hard,103898,103566,104660,102836.0
2010-02-15,Hard,103523,102979,104043,103990.0
2010-02-15,Hard,103096,103917,103573,103529.0
2010-02-15,Clay,103752,103429,104655,104719.0
2010-02-15,Clay,102585,104547,102463,104314.0
2010-02-15,Clay,104597,103490,104230,103594.0
2010-02-15,Clay,103970,103105,104214,104593.0
2010-02-15,Hard,104504,103459,103822,103718.0
2010-02-15,Hard,102382,102963,103523,102979.0
2010-02-15,Hard,103898,103566,103096,103917.0
2010-02-15,Clay,102585,104547,104597,103490.0
2010-02-15,Hard,104545,105023,104504,103459.0
2010-02-15,Hard,103898,103566,102382,102963.0
2010-02-15,Clay,102585,104547,103752,103429.0
2010-02-22,Hard,103852,103990,102110,102800.0
2010-02-22,Hard,104160,102233,103586,103690.0
2010-02-22,Hard,102405,103018,108996,104895.0
2010-02-22,Hard,102388,103080,104925,102811.0
2010-02-22,Hard,103096,102963,103523,103529.0
2010-02-22,Hard,103577,101868,103344,103781.0
2010-02-22,Hard,104386,104678,103722,104468.0
2010-02-22,Hard,103184,103185,102904,102881.0
2010-02-22,Hard,103794,104919,102306,104332.0
2010-02-22,Hard,103929,103938,104504,103459.0
2010-02-22,Hard,103859,104871,102987,104486.0
2010-02-22,Hard,103484,103470,103780,103718.0
2010-02-22,Hard,103573,102836,104978,104252.0
2010-02-22,Hard,103758,105992,104415,104159.0
2010-02-22,Hard,103813,104035,102979,103822.0
2010-02-22,Clay,103997,103594,104214,104593.0
2010-02-22,Clay,104249,103946,102968,103544.0
2010-02-22,Clay,102093,104583,102697,103711.0
2010-02-22,Clay,104136,103454,103540,103828.0
2010-02-22,Clay,104655,103602,103812,104534.0
2010-02-22,Clay,104200,105471,102463,105064.0
2010-02-22,Clay,104926,103808,104545,105023.0
2010-02-22,Clay,104338,104547,103169,103656.0
2010-02-22,Hard,104160,102233,103096,102963.0
2010-02-22,Hard,102388,103080,102405,103018.0
2010-02-22,Hard,103577,101868,102886,103455.0
2010-02-22,Hard,103852,103990,104386,104678.0
2010-02-22,Hard,103184,103185,103813,104035.0
2010-02-22,Hard,103794,104919,103573,102836.0
2010-02-22,Hard,103758,105992,103859,104871.0
2010-02-22,Hard,103929,103938,103484,103470.0
2010-02-22,Clay,103997,103594,104655,103602.0
2010-02-22,Clay,104926,103808,104249,103946.0
2010-02-22,Clay,102093,104583,104200,105471.0
2010-02-22,Clay,104338,104547,104136,103454.0
2010-02-22,Hard,104160,102233,103577,101868.0
2010-02-22,Hard,102388,103080,103852,103990.0
2010-02-22,Hard,103184,103185,103758,105992.0
2010-02-22,Clay,103997,103594,102093,104583.0
2010-02-22,Hard,102388,103080,104160,102233.0
2010-02-22,Hard,103184,103185,103929,103938.0
2010-02-22,Clay,103997,103594,104926,103808.0
2010-03-11,Hard,102110,102800,103780,104330.0
2010-03-11,Hard,104607,104259,103184,103185.0
2010-03-11,Hard,104043,104745,104160,102233.0
2010-03-11,Hard,104214,105095,102405,103018.0
2010-03-11,Hard,102886,103455,103794,102697.0
2010-03-11,Hard,102388,103080,103459,104583.0
2010-03-11,Hard,103333,102811,103586,103690.0
2010-03-11,Hard,104386,104678,103577,101868.0
2010-03-11,Hard,105064,104655,104249,103946.0
2010-03-11,Hard,103898,104542,102963,104417.0
2010-03-11,Hard,103484,104053,104504,104918.0
2010-03-11,Hard,103540,103828,102382,103781.0
2010-03-11,Hard,103970,103656,104792,104468.0
2010-03-11,Hard,104545,105023,105227,103344.0
2010-03-11,Hard,103566,103544,102093,103285.0
2010-03-11,Hard,103852,104269,104339,103888.0
2010-03-11,Hard,102110,102800,103484,104053.0
2010-03-11,Hard,102388,103080,103898,104542.0
2010-03-11,Hard,103540,103828,104607,104259.0
2010-03-11,Hard,104545,105023,104214,105095.0
2010-03-11,Hard,103333,102811,103970,103656.0
2010-03-11,Hard,104043,104745,103852,104269.0
2010-03-11,Hard,102388,103080,103540,103828.0
2010-03-11,Hard,104545,105023,103333,102811.0
2010-03-11,Hard,104043,104745,103566,103544.0
2010-03-11,Hard,102110,102800,104545,105023.0
2010-03-11,Hard,104043,104745,102388,103080.0
2010-03-11,Hard,104043,104745,102110,102800.0
2010-03-24,Hard,102110,102800,104797,102864.0
2010-03-24,Hard,103184,103185,104745,104831.0
2010-03-24,Hard,104160,102233,104504,103459.0
2010-03-24,Hard,102405,103018,102697,103325.0
2010-03-24,Hard,103794,102306,103997,103594.0
2010-03-24,Hard,102388,103080,103781,104332.0
2010-03-24,Hard,102886,103455,102963,104486.0
2010-03-24,Hard,103586,103690,102382,104259.0
2010-03-24,Hard,104597,103990,104249,103946.0
2010-03-24,Hard,104214,104022,103888,101956.0
2010-03-24,Hard,105064,104043,103577,101868.0
2010-03-24,Hard,103780,104330,105992,102839.0
2010-03-24,Hard,103096,104542,104198,103656.0
2010-03-24,Hard,102093,104583,103333,102811.0
2010-03-24,Hard,104545,105023,103540,103828.0
2010-03-24,Hard,103852,104269,103566,103544.0
2010-03-24,Hard,104597,103990,102110,102800.0
2010-03-24,Hard,103184,103185,103780,104330.0
2010-03-24,Hard,104160,102233,105064,104043.0
2010-03-24,Hard,102405,103018,104545,105023.0
2010-03-24,Hard,103852,104269,102388,103080.0
2010-03-24,Hard,103096,104542,102886,103455.0
2010-03-24,Hard,103586,103690,104214,104022.0
2010-03-24,Hard,103794,102306,102093,104583.0
2010-03-24,Hard,103586,103690,103184,103185.0
2010-03-24,Hard,104160,102233,103794,102306.0
2010-03-24,Hard,102405,103018,103096,104542.0
2010-03-24,Hard,104597,103990,103852,104269.0
2010-03-24,Hard,104160,102233,104597,103990.0
2010-03-24,Hard,102405,103018,103586,103690.0
2010-03-24,Hard,104160,102233,102405,103018.0
2010-04-05,Clay,103876,104911,103997,103594.0
2010-04-05,Clay,104719,104043,104198,104249.0
2010-04-05,Clay,102963,104486,103254,104527.0
2010-04-05,Clay,103752,103429,102306,103813.0
2010-04-05,Clay,103523,103529,103978,105149.0
2010-04-05,Clay,104415,104159,103109,104807.0
2010-04-05,Clay,102904,102881,103096,103722.0
2010-04-05,Clay,103929,103938,105238,104141.0
2010-04-05,Clay,103184,103185,104504,103459.0
2010-04-05,Clay,103888,101956,103780,104330.0
2010-04-05,Clay,102697,103325,102987,102811.0
2010-04-05,Clay,104797,103327,103540,103828.0
2010-04-05,Clay,102093,104583,105095,102864.0
2010-04-05,Clay,105992,105385,103598,103188.0
2010-04-05,Clay,103516,103720,103859,108990.0
2010-04-05,Clay,104999,104547,103822,104224.0
2010-04-05,Clay,104719,104043,102904,102881.0
2010-04-05,Clay,102963,104486,104415,104159.0
2010-04-05,Clay,103523,103529,103752,103429.0
2010-04-05,Clay,103929,103938,103876,104911.0
