tourney_date,surface,winner1_name,winner1_id,winner2_name,winner2_id,loser1_name,loser1_id,loser2_name,loser2_id
2018-09-17,Hard,Roman Jebavy,105433,Matwe Middelkoop,104235,Julio Peralta,103841,Horacio Zeballos,104547
2018-09-17,Hard,Nicolas Mahut,103917,Edouard Roger Vasselin,104273,Ken Skupski,104159,Neal Skupski,105439
2018-09-17,Hard,Matteo Berrettini,126610,Fabio Fognini,104926,Roman Jebavy,105433,Matwe Middelkoop,104235
2018-09-24,Hard,Ivan Dodig,104471,Mate Pavic,106207,Leander Paes,102233,Miguel Angel Reyes Varela,104960
2018-09-24,Hard,Denys Molchanov,104920,Igor Zelenay,103938,Mao Xin Gong,105001,Ze Zhang,105585
2018-09-24,Hard,Santiago Gonzalez,104136,Aisam Ul Haq Qureshi,103529,Taylor Harry Fritz,126203,Bradley Klahn,105614
2018-09-24,Hard,Matthew Ebden,105051,Mischa Zverev,104999,Xin Gao,106321,Rigele Te,144751
2018-09-24,Hard,Ruben Bemelmans,105074,Prajnesh Gunneswaran,105432,Radu Albot,105430,Malek Jaziri,104291
2018-09-24,Hard,Austin Krajicek,105572,Jeevan Nedunchezhiyan,105233,Divij Sharan,104690,Artem Sitak,104677
2018-09-24,Hard,Guido Pella,105550,Joao Sousa,105311,James Cerretani,103859,Jonathan Erlich,102968
2018-09-24,Hard,N Sriram Balaji,105502,Rohan Bopanna,103523,Julio Peralta,103841,Horacio Zeballos,104547
2018-09-24,Hard,Marcin Matkowski,103690,Nicholas Monroe,103977,Fajing Sun,111806,Zhizhen Zhang,111190
2018-09-24,Hard,Roman Jebavy,105433,Andres Molteni,105120,Taro Daniel,106121,Mackenzie Mcdonald,111456
2018-09-24,Hard,Denis Kudla,106045,Cameron Norrie,111815,Dusan Lajovic,105583,Viktor Troicki,104678
2018-09-24,Hard,Zhe Li,104810,Di Wu,105842,David Marrero,103543,Andreas Seppi,104312
2018-09-24,Hard,Robert Lindstedt,102963,Rajeev Ram,104330,Alex De Minaur,200282,Bradley Mousley,111451
2018-09-24,Hard,Max Mirnyi,103018,Philipp Oswald,104667,Fabrice Martin,104802,Albert Ramos,105077
2018-09-24,Hard,Marcus Daniell,105428,Wesley Koolhof,105323,Cheng Peng Hsieh,105850,Sonchat Ratiwatana,103921
2018-09-24,Hard,Ivan Dodig,104471,Mate Pavic,106207,Denys Molchanov,104920,Igor Zelenay,103938
2018-09-24,Hard,Santiago Gonzalez,104136,Aisam Ul Haq Qureshi,103529,Matthew Ebden,105051,Mischa Zverev,104999
2018-09-24,Hard,Austin Krajicek,105572,Jeevan Nedunchezhiyan,105233,Ruben Bemelmans,105074,Prajnesh Gunneswaran,105432
2018-09-24,Hard,Guido Pella,105550,Joao Sousa,105311,N Sriram Balaji,105502,Rohan Bopanna,103523
2018-09-24,Hard,Ben Mclachlan,110758,Joe Salisbury,110749,Marcin Matkowski,103690,Nicholas Monroe,103977
2018-09-24,Hard,Robert Lindstedt,102963,Rajeev Ram,104330,Zhe Li,104810,Di Wu,105842
2018-09-24,Hard,Max Mirnyi,103018,Philipp Oswald,104667,Marcus Daniell,105428,Wesley Koolhof,105323
2018-09-24,Hard,Ivan Dodig,104471,Mate Pavic,106207,Santiago Gonzalez,104136,Aisam Ul Haq Qureshi,103529
2018-09-24,Hard,Austin Krajicek,105572,Jeevan Nedunchezhiyan,105233,Guido Pella,105550,Joao Sousa,105311
2018-09-24,Hard,Ben Mclachlan,110758,Joe Salisbury,110749,Roman Jebavy,105433,Andres Molteni,105120
2018-09-24,Hard,Robert Lindstedt,102963,Rajeev Ram,104330,Max Mirnyi,103018,Philipp Oswald,104667
2018-09-24,Hard,Ivan Dodig,104471,Mate Pavic,106207,Austin Krajicek,105572,Jeevan Nedunchezhiyan,105233
2018-09-24,Hard,Ben Mclachlan,110758,Joe Salisbury,110749,Robert Lindstedt,102963,Rajeev Ram,104330
2018-10-01,Hard,Oliver Marach,103594,Mate Pavic,106207,Marco Cecchinato,106065,Fernando Verdasco,104269
2018-10-01,Hard,Marcus Daniell,105428,Wesley Koolhof,105323,Feliciano Lopez,103852,Marc Lopez,104043
2018-10-01,Hard,Ivan Dodig,104471,Nikola Mektic,105254,Runhao Hua,132495,Zhizhen Zhang,111190
2018-10-01,Hard,Juan Martin Del Potro,105223,Leonardo Mayer,104919,Andrey Rublev,126094,Alexander Zverev,100644
2018-10-01,Hard,Denys Molchanov,104920,Igor Zelenay,103938,Nicholas Monroe,103977,Jack Sock,106058
2018-10-01,Hard,Juan Sebastian Cabal,108701,Robert Farah,104857,Jean Julien Rojer,103828,Horia Tecau,104486
2018-10-01,Hard,Rohan Bopanna,103523,Edouard Roger Vasselin,104273,Kyle Edmund,106378,Marton Fucsovics,105916
2018-10-01,Hard,Lukasz Kubot,103997,Marcelo Melo,104249,Mao Xin Gong,105001,Ze Zhang,105585
2018-10-01,Hard,Roman Jebavy,105433,Andres Molteni,105120,David Marrero,103543,Andreas Seppi,104312
2018-10-01,Hard,Denys Molchanov,104920,Igor Zelenay,103938,Zhe Li,104810,Di Wu,105842
