game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
6147, 103184, 103185, 104471, 104249, 3414.731, 3182.985, 0.7890
6148, 104679, 105188, 103828, 104486, 3156.645, 3205.681, 0.4183
6149, 105238, 105453, 103523, 102110, 3000.341, 3221.026, 0.1949
6150, 102963, 103690, 103586, 104136, 3149.631, 3116.762, 0.5396
6151, 103780, 105032, 103781, 104468, 3159.531, 2937.030, 0.7754
6152, 105777, 106423, 104871, 103997, 3006.364, 3109.254, 0.3012
6153, 104589, 103720, 105902, 104594, 3135.957, 2847.303, 0.8313
6154, 105449, 105023, 105775, 105573, 3147.142, 3126.238, 0.4964
6155, 105777, 106423, 102963, 103690, 3041.940, 3146.068, 0.3048
6156, 105449, 105023, 103780, 105032, 3157.277, 3151.633, 0.4822
6157, 105238, 105453, 104589, 103720, 3018.027, 3122.657, 0.3142
6158, 104679, 105188, 105683, 106071, 3159.289, 2996.032, 0.7025
6159, 105238, 105453, 105777, 106423, 3030.910, 3016.667, 0.4656
6160, 104679, 105188, 105449, 105023, 3163.754, 3147.621, 0.5029
6161, 104679, 105188, 105238, 105453, 3166.583, 3022.893, 0.6824
6162, 102382, 104667, 103529, 102800, 3109.543, 3203.013, 0.3502
6163, 108701, 104857, 103822, 104330, 3156.615, 3073.571, 0.6076
6164, 103543, 104269, 104471, 103018, 3191.470, 3185.508, 0.4977
6165, 104925, 105936, 106325, 104291, 3035.337, 2873.677, 0.6612
6166, 104693, 104495, 104797, 104022, 3152.181, 3018.063, 0.6737
6167, 104338, 104745, 104620, 104919, 3171.174, 3121.270, 0.5450
6168, 104586, 104660, 104665, 104312, 3049.185, 2957.928, 0.6157
6169, 104071, 102233, 104890, 105041, 3235.439, 2810.165, 0.9181
6170, 104398, 104898, 102886, 106210, 3132.340, 3100.974, 0.5137
6171, 105138, 104527, 103540, 103977, 3063.674, 3010.744, 0.5473
6172, 105807, 104198, 103594, 105030, 2980.175, 3039.056, 0.3716
6173, 105575, 106207, 104180, 104997, 3070.036, 2945.668, 0.6371
6174, 102405, 105031, 105721, 121581, 3140.970, 2969.109, 0.6751
6175, 104229, 103730, 105233, 105502, 3013.902, 2918.838, 0.5765
6176, 104646, 108990, 105379, 106000, 2963.339, 2955.429, 0.4309
6177, 104925, 105936, 108701, 104857, 3076.407, 3150.188, 0.3322
6178, 102382, 104667, 104586, 104660, 3116.079, 3043.769, 0.5860
6179, 103543, 104269, 104693, 104495, 3194.941, 3146.143, 0.5563
6180, 104338, 104745, 103794, 104677, 3177.432, 2988.860, 0.7290
