game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
4901, Juliana Felisberta, Larissa Franca, Ashley Ivy Swift, Lisa Fitzgerald, 4030.993, 3136.463, 0.9942
4902, Kristyna Kolocova, Marketa Slukova, Cornelia Rimser, Kerstin Pichler, 3392.640, 2913.947, 0.9356
4903, Juliana Felisberta, Larissa Franca, Kristyna Kolocova, Marketa Slukova, 4033.752, 3389.881, 0.9753
4904, Ashley Ivy Swift, Lisa Fitzgerald, Cornelia Rimser, Kerstin Pichler, 3156.886, 2893.524, 0.7826
4905, Maria Antonelli, Talita Antunes, Erika Fabjan, Simona Fabjan, 3799.027, 3070.598, 0.9848
4906, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Maria Tsiartsiani, Vasiliki Arvaniti, 3342.644, 3337.960, 0.3450
4907, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Maria Antonelli, Talita Antunes, 3441.754, 3699.917, 0.0674
4908, Maria Tsiartsiani, Vasiliki Arvaniti, Erika Fabjan, Simona Fabjan, 3355.013, 3053.546, 0.8233
4909, Maria Antonelli, Talita Antunes, Maria Tsiartsiani, Vasiliki Arvaniti, 3712.103, 3342.827, 0.8793
4910, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Erika Fabjan, Simona Fabjan, 3451.729, 3043.570, 0.9033
4911, Chen Xue, Xi Zhang, Sona Novakova, Tereza Tobiasova, 3635.013, 3248.377, 0.8906
4912, Nadine Zumkehr, Simone Kuhn, Emilia Nystrom, Erika Nystrom, 3418.858, 3281.070, 0.5955
4913, Chen Xue, Xi Zhang, Emilia Nystrom, Erika Nystrom, 3646.708, 3269.375, 0.8847
4914, Sona Novakova, Tereza Tobiasova, Nadine Zumkehr, Simone Kuhn, 3314.690, 3352.545, 0.2726
4915, Chen Xue, Xi Zhang, Nadine Zumkehr, Simone Kuhn, 3661.943, 3337.311, 0.8447
4916, Sona Novakova, Tereza Tobiasova, Emilia Nystrom, Erika Nystrom, 3352.478, 3231.587, 0.5648
4917, Misty May-Treanor, Nicole Branagh, Inese Jursone, Inguna Minusa, 3659.916, 3054.613, 0.9691
4918, Anastasia Barsuk, Ekaterina Birlova, Hana Skalnikova, Lenka Hajeckova, 3281.420, 3299.166, 0.3057
4919, Misty May-Treanor, Nicole Branagh, Anastasia Barsuk, Ekaterina Birlova, 3670.357, 3270.979, 0.8983
4920, Hana Skalnikova, Lenka Hajeckova, Inese Jursone, Inguna Minusa, 3317.881, 3035.898, 0.8034
4921, Misty May-Treanor, Nicole Branagh, Hana Skalnikova, Lenka Hajeckova, 3682.131, 3306.107, 0.8838
4922, Inese Jursone, Inguna Minusa, Anastasia Barsuk, Ekaterina Birlova, 3111.117, 3195.759, 0.2053
4923, Laura Ludwig, Sara Niedrig, Liesbet Van Breedam, Liesbeth Mouha, 3589.950, 3137.255, 0.9252
4924, Ilka Semmler, Katrin Holtwick, Greta Cicolari, Marta Menegatti, 3455.002, 3110.388, 0.8612
4925, Laura Ludwig, Sara Niedrig, Greta Cicolari, Marta Menegatti, 3596.326, 3104.012, 0.9405
4926, Liesbet Van Breedam, Liesbeth Mouha, Ilka Semmler, Katrin Holtwick, 3222.921, 3369.336, 0.1383
4927, Laura Ludwig, Sara Niedrig, Ilka Semmler, Katrin Holtwick, 3616.395, 3349.268, 0.7870
4928, Liesbet Van Breedam, Liesbeth Mouha, Greta Cicolari, Marta Menegatti, 3252.717, 3074.216, 0.6647
4929, April Ross, Jennifer Kessy, Natalie Cook, Tamsin Hinchley, 3583.497, 3267.592, 0.8369
4930, Madelein Meppelink, Marloes Wesselink, Marleen Van Iersel, Sanne Keizer, 3286.962, 3410.381, 0.1605
4931, April Ross, Jennifer Kessy, Madelein Meppelink, Marloes Wesselink, 3598.578, 3271.881, 0.8464
4932, Natalie Cook, Tamsin Hinchley, Marleen Van Iersel, Sanne Keizer, 3330.016, 3347.957, 0.3053
4933, April Ross, Jennifer Kessy, Marleen Van Iersel, Sanne Keizer, 3616.840, 3329.695, 0.8089
4934, Madelein Meppelink, Marloes Wesselink, Natalie Cook, Tamsin Hinchley, 3322.634, 3279.264, 0.4171
4935, Evgeniya Ukolova, Maria Prokopeva, Angie Akers, Tyra Turner, 3272.722, 3379.427, 0.1786
4936, Doris Schwaiger, Stefanie Schwaiger, Elsa Baquerizo, Liliana Fernandez, 3560.029, 3151.306, 0.9036
4937, Elsa Baquerizo, Liliana Fernandez, Angie Akers, Tyra Turner, 3225.587, 3305.145, 0.2120
4938, Doris Schwaiger, Stefanie Schwaiger, Evgeniya Ukolova, Maria Prokopeva, 3575.714, 3257.037, 0.8394
4939, Doris Schwaiger, Stefanie Schwaiger, Angie Akers, Tyra Turner, 3592.542, 3288.318, 0.8260
4940, Elsa Baquerizo, Liliana Fernandez, Evgeniya Ukolova, Maria Prokopeva, 3272.823, 3209.801, 0.4549
4941, Becchara Palmer, Louise Bawden, Carolina Salgado, Maria Clara Salgado, 3297.788, 3284.681, 0.3603
4942, Taiana Lima, Vivian Cunha, Barbara Hansel, Sara Montagnolli, 3388.018, 3510.772, 0.1612
4943, Taiana Lima, Vivian Cunha, Carolina Salgado, Maria Clara Salgado, 3419.414, 3253.285, 0.6445
4944, Barbara Hansel, Sara Montagnolli, Becchara Palmer, Louise Bawden, 3531.965, 3276.595, 0.7731
4945, Carolina Salgado, Maria Clara Salgado, Barbara Hansel, Sara Montagnolli, 3334.195, 3451.054, 0.1674
4946, Taiana Lima, Vivian Cunha, Becchara Palmer, Louise Bawden, 3446.851, 3249.158, 0.6947
4947, Nadine Zumkehr, Simone Kuhn, Hana Skalnikova, Lenka Hajeckova, 3376.754, 3266.664, 0.5448
4948, Kristyna Kolocova, Marketa Slukova, Inese Jursone, Inguna Minusa, 3406.142, 3094.856, 0.8327
4949, Carolina Salgado, Maria Clara Salgado, Natalie Cook, Tamsin Hinchley, 3370.877, 3242.582, 0.5784
4950, Maria Antonelli, Talita Antunes, Ilka Semmler, Katrin Holtwick, 3723.332, 3338.039, 0.8898
4951, Barbara Hansel, Sara Montagnolli, Sona Novakova, Tereza Tobiasova, 3482.949, 3320.583, 0.6382
4952, Maria Tsiartsiani, Vasiliki Arvaniti, Liesbet Van Breedam, Liesbeth Mouha, 3375.620, 3219.924, 0.6268
4953, Elsa Baquerizo, Liliana Fernandez, Ashley Ivy Swift, Lisa Fitzgerald, 3302.921, 3126.788, 0.6609
4954, Evgeniya Ukolova, Maria Prokopeva, Madelein Meppelink, Marloes Wesselink, 3268.033, 3264.401, 0.3431
4955, Juliana Felisberta, Larissa Franca, Nadine Zumkehr, Simone Kuhn, 4036.244, 3374.262, 0.9777
4956, April Ross, Jennifer Kessy, Kristyna Kolocova, Marketa Slukova, 3638.220, 3384.762, 0.7708
4957, Laura Ludwig, Sara Niedrig, Carolina Salgado, Maria Clara Salgado, 3635.037, 3352.235, 0.8043
4958, Maria Antonelli, Talita Antunes, Chen Xue, Xi Zhang, 3759.282, 3625.993, 0.5874
4959, Barbara Hansel, Sara Montagnolli, Misty May-Treanor, Nicole Branagh, 3553.265, 3611.815, 0.2411
4960, Doris Schwaiger, Stefanie Schwaiger, Maria Tsiartsiani, Vasiliki Arvaniti, 3613.414, 3354.748, 0.7771
4961, Taiana Lima, Vivian Cunha, Elsa Baquerizo, Liliana Fernandez, 3474.181, 3275.591, 0.6960
4962, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Evgeniya Ukolova, Maria Prokopeva, 3475.405, 3244.357, 0.7422
