game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
8050, Agatha Bednarczuk, Maria Antonelli, Tanja Goricanec, Tanja HÌ_berli, 3356.350, 2967.529, 0.8988
8051, Kira Walkenhorst, Laura Ludwig, Barbora Hermannova, Martina Bonnerova, 3287.747, 2965.465, 0.8575
8052, Agatha Bednarczuk, Maria Antonelli, Barbora Hermannova, Martina Bonnerova, 3357.495, 2960.781, 0.9047
8053, Kira Walkenhorst, Laura Ludwig, Tanja Goricanec, Tanja HÌ_berli, 3291.074, 2957.012, 0.8633
8054, Agatha Bednarczuk, Maria Antonelli, Kira Walkenhorst, Laura Ludwig, 3362.248, 3281.137, 0.5944
8055, Tanja Goricanec, Tanja HÌ_berli, Barbora Hermannova, Martina Bonnerova, 2990.953, 2939.466, 0.4946
8056, Doris Schwaiger, Stefanie Schwaiger, Jessyka Ngauamo, Mariafe Artacho, 3295.960, 2808.491, 0.9396
8057, Heather Bansley, Sarah Pavan, Ekaterina Birlova, Evgeniya Ukolova, 3151.437, 3211.323, 0.3541
8058, Ekaterina Birlova, Evgeniya Ukolova, Jessyka Ngauamo, Mariafe Artacho, 3212.167, 2793.744, 0.9104
8059, Doris Schwaiger, Stefanie Schwaiger, Heather Bansley, Sarah Pavan, 3297.521, 3134.140, 0.6968
8060, Heather Bansley, Sarah Pavan, Jessyka Ngauamo, Mariafe Artacho, 3140.468, 2775.183, 0.8765
8061, Doris Schwaiger, Stefanie Schwaiger, Ekaterina Birlova, Evgeniya Ukolova, 3299.583, 3208.364, 0.6204
8062, Greta Cicolari, Marta Menegatti, Penny Karagkouni, Vasiliki Arvaniti, 3403.864, 2930.405, 0.9361
8063, Britta Buthe, Karla Borger, Tanarattha Udomchavee, Varapatsorn Radarong, 3237.350, 2612.750, 0.9727
8064, Greta Cicolari, Marta Menegatti, Tanarattha Udomchavee, Varapatsorn Radarong, 3403.971, 2611.474, 0.9896
8065, Britta Buthe, Karla Borger, Penny Karagkouni, Vasiliki Arvaniti, 3239.389, 2916.635, 0.8541
8066, Penny Karagkouni, Vasiliki Arvaniti, Tanarattha Udomchavee, Varapatsorn Radarong, 2928.813, 2595.826, 0.8528
8067, Britta Buthe, Karla Borger, Greta Cicolari, Marta Menegatti, 3249.942, 3396.751, 0.2794
8068, Joana Heidrich, Nadine Zumkehr, Muriel Graessli, Romana Kayser, 3213.799, 2958.691, 0.8029
8069, Barbara Hansel, Katharina Schutzenhofer, Marleen Van Iersel, Sanne Keizer, 3114.263, 3358.899, 0.1511
8070, Barbara Hansel, Katharina Schutzenhofer, Joana Heidrich, Nadine Zumkehr, 3148.582, 3202.839, 0.3606
8071, Marleen Van Iersel, Sanne Keizer, Muriel Graessli, Romana Kayser, 3359.493, 2955.185, 0.9092
8072, Joana Heidrich, Nadine Zumkehr, Marleen Van Iersel, Sanne Keizer, 3215.706, 3354.884, 0.2887
8073, Barbara Hansel, Katharina Schutzenhofer, Muriel Graessli, Romana Kayser, 3161.071, 2946.431, 0.7527
8074, Kristyna Kolocova, Marketa Slukova, Maria Prokopeva, Svetlana Popova, 3314.771, 3076.918, 0.7879
8075, Emily Day, Summer Ross, Elsa Baquerizo, Liliana Fernandez, 3116.048, 3266.841, 0.2267
8076, Kristyna Kolocova, Marketa Slukova, Emily Day, Summer Ross, 3317.041, 3099.353, 0.7584
8077, Elsa Baquerizo, Liliana Fernandez, Maria Prokopeva, Svetlana Popova, 3269.137, 3067.993, 0.7490
8078, Elsa Baquerizo, Liliana Fernandez, Kristyna Kolocova, Marketa Slukova, 3274.429, 3311.403, 0.4315
